growth_rate,people_fully_vaccinated_per_hundred,country,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,z,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality,ISO,WEO Subject Code,Subject Descriptor,Subject Notes,Units,Scale,2020,2020,2021,2023,2024,2025,2026,Estimates Start After,
3.478,51.07,Austria,7/31/21,659056,538,445.429,10737,0,0.857,73176.408,59.735,49.457,1192.152,0,0.095,1.26,,,,,,,,,367563,66567305,7391.111,40.811,370880,41.18,0.001,832.6,tests performed,9697415,5295345,4599790,34897,42638,107.67,58.8,51.07,4734,,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,,AUT,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",-6.59,3.478,4,2.3,2,1.8,1.8,2019
5.035,2.63,Bangladesh,7/31/21,1249484,9369,13734.286,20685,218,234.143,7586.913,56.889,83.395,125.6,1.324,1.422,1.23,,,,,,,,,,,,,40562,0.246,0.339,3,tests performed,12849265,8520221,4329044,1114818,360901,7.8,5.17,2.63,2191,,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632,,BGD,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",3.798,5.035,7.465,7.3,7.3,7.3,7.2,2020
4.043,58.86,Belgium,7/31/21,1124715,0,1607.143,25241,0,3,97045.062,0,138.671,2177.898,0,0.259,1.2,,,,,,,,,60028,17313965,1493.921,5.179,54146,4.672,0.032,31.2,tests performed,14535100,8036758,6821945,60389,101750,125.41,69.34,58.86,8779,,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,,BEL,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",-6.424,4.043,3.091,2.101,1.596,1.315,1.341,2020
3.655,19.52,Brazil,7/31/21,19917855,37582,35331.571,556370,910,988.857,93704.885,176.807,166.22,2617.48,4.281,4.652,0.91,,,,,,,,,,,,,,,,,,142488679,105057816,41489804,2319465,1520483,67.03,49.43,19.52,7153,,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,BRA,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",-4.059,3.655,2.565,2.141,2.015,2.015,2.015,2020
4.4,14.39,Bulgaria,7/31/21,425054,182,203.571,18213,2,2.857,61172.536,26.193,29.297,2621.162,0.288,0.411,1.63,,,,,,,,,,,,,15128,2.177,0.013,74.3,tests performed,2028136,1028258,999878,3193,9270,29.19,14.8,14.39,1334,,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,,BGR,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",-3.844,4.4,4.4,3.9,3.2,3.04,2.8,2019
4.256,1,Burkina Faso,7/31/21,13573,0,5,169,0,0,649.324,0,0.239,8.085,0,0,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,,BFA,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",0.793,4.256,5.202,5.586,5.583,5.554,5.603,2018
6.174,64.48,Chile,7/31/21,1615771,1142,1146,35448,82,70,84523.61,59.74,59.949,1854.343,4.29,3.662,0.77,,,,,,,,,60233,18421129,963.639,3.151,53609,2.804,0.021,46.8,tests performed,25649538,13829217,12326594,6296,43717,134.18,72.34,64.48,2287,,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,,CHL,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",-5.841,6.174,3.822,2.684,2.495,2.457,2.549,2020
8.437,15.15,China,7/31/21,93066,77,68.429,4636,0,0,64.66,0.053,0.048,3.221,0,0,1.4,,,,,,,,,,,,,,,,,,1652819000,,,15424000,16301714,114.83,,,11326,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,CHN,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",2.27,8.437,5.574,5.439,5.273,5.121,4.863,2020
4.7,34.88,Croatia,7/31/21,363615,218,159.857,8259,5,2,88572.78,53.103,38.94,2011.805,1.218,0.487,1.18,,,,,,,,,,,,,8096,1.972,0.02,50.6,people tested,3078364,1646466,1431898,9707,10760,74.99,40.11,34.88,2621,33.8,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,,HRV,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",-9,4.7,5,4.2,3.5,3.7,3,2019
5.812,47.88,France,7/31/21,6190334,23644,21312.571,112055,44,36.429,91621.44,349.948,315.442,1658.495,0.651,0.539,1.43,,,,,,,,,,,,,,,,,,73914911,42427012,32351518,462396,620231,109.4,62.8,47.88,9180,,67564251,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,,FRA,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",-8.232,5.812,4.217,1.711,1.483,1.362,1.242,2020
