date,gdp,value
1960,543300000000,543.3
1961,563300000000,563.3
1962,605100000000,605.1
1963,638600000000,638.6
1964,685800000000,685.8
1965,743700000000,743.7
1966,815000000000,815
1967,861700000000,861.7
1968,942500000000,942.5
1969,1019900000000,1019.9
1970,1073303000000,1073.303
1971,1164850000000,1164.85
1972,1279110000000,1279.11
1973,1425376000000,1425.376
1974,1545243000000,1545.243
1975,1684904000000,1684.904
1976,1873412000000,1873.412
1977,2081826000000,2081.826
1978,2351599000000,2351.599
1979,2627334000000,2627.334
1980,2857307000000,2857.307
1981,3207042000000,3207.042
1982,3343789000000,3343.789
1983,3634038000000,3634.038
1984,4037613000000,4037.613
1985,4338979000000,4338.979
1986,4579631000000,4579.631
1987,4855215000000,4855.215
1988,5236438000000,5236.438
1989,5641580000000,5641.58
1990,5963144000000,5963.144
1991,6158129000000,6158.129
1992,6520327000000,6520.327
1993,6858559000000,6858.559
1994,7287236000000,7287.236
1995,7639749000000,7639.749
1996,8073122000000,8073.122
1997,8577554457000,8577.554457
1998,9062818202000,9062.818202
1999,9630664202000,9630.664202
2000,10252345464000,10252.34546
2001,10581821399000,10581.8214
2002,10936419054000,10936.41905
2003,11458243878000,11458.24388
2004,12213729147000,12213.72915
2005,13036640230000,13036.64023
2006,13814611414000,13814.61141
2007,14451858656000,14451.85866
2008,14712844084000,14712.84408
2009,14448933025000,14448.93303
2010,14992052727000,14992.05273
2011,15542581104000,15542.5811
2012,16197007349000,16197.00735
2013,16784849196000,16784.8492
2014,17527163695000,17527.1637
2015,18238300569000,18238.30057
2016,18745075687000,18745.07569
2017,19542979183000,19542.97918
2018,20611860934000,20611.86093
2019,21433224697000,21433.2247
2020,20936600000000,20936.6
