,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
76518,PER,South America,Peru,2020-12-31,1015137,4641,2140.571,93070,173,137,30787.994,140.756,64.921,2822.711,5.247,4.155,1.2,,,,,,,,,7575,1757477,53.302,0.23,10304,0.313,0.142,7,tests performed,,,,,,,,,,59.26,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,
10121,BEL,Europe,Belgium,2020-12-31,646496,2254,1656,19528,87,70,55782.349,194.484,142.887,1684.957,7.507,6.04,0.9,494,42.624,2187,188.703,,,,,30556,6966799,601.124,2.636,25476,2.198,0.072,13.9,tests performed,842,842,19,19,178,0.01,0.01,0,15,60.19,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,
87431,SVN,Europe,Slovenia,2020-12-31,122152,2412,1447.286,2697,32,31.143,58757.093,1160.211,696.168,1297.301,15.393,14.98,1.09,195,93.798,1174,564.713,,,,,4073,678496,326.368,1.959,3772,1.814,0.305,3.3,tests performed,11382,11382,,1847,1303,0.55,0.55,,627,81.48,2078932,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25,,4.5,81.32,0.917,
48481,ITA,Europe,Italy,2020-12-31,2107166,23477,13978.429,74159,555,465.571,34851.179,388.295,231.194,1226.542,9.179,7.7,1.12,2555,42.258,25706,425.161,,,,,186004,26598607,439.924,3.076,120892,1.999,0.116,8.6,tests performed,40041,40041,,25576,8202,0.07,0.07,,136,84.26,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,
14981,BGR,Europe,Bulgaria,2020-12-31,202266,1046,801.143,7576,61,79,29109.535,150.537,115.298,1090.316,8.779,11.369,0.75,467,67.209,4831,695.263,,,,,8473,1149545,165.439,1.219,4582,0.659,0.175,5.7,tests performed,,,,,1477,,,,213,53.7,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,
90903,ESP,Europe,Spain,2020-12-31,1928265,18047,10473.429,50837,148,144.714,41242.091,385.993,224.008,1087.311,3.165,3.095,1.29,2018,43.161,11535,246.713,,,,,,22688602,485.268,,114181,2.442,0.092,10.9,tests performed,,,,,,,,,,78.7,46754783,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,
101193,GBR,Europe,United Kingdom,2020-12-31,2496235,56029,43012.429,73622,965,555.714,36770.982,825.339,633.598,1084.495,14.215,8.186,1.35,2122,31.258,26578,391.509,,,,,485447,40360368,594.532,7.151,361431,5.324,0.119,8.4,tests performed,,,,,50832,,,,749,79.63,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,81.32,0.932,
101753,USA,North America,United States,2020-12-31,20100244,235600,189143.143,351980,3428,2517.571,60725.327,711.777,571.425,1063.375,10.356,7.606,1.06,27747,83.827,123314,372.547,,,,,1920516,257591484,778.216,5.802,1463774,4.422,0.136,7.4,tests performed,,,,,278776,,,,834,71.76,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,
62602,MEX,North America,Mexico,2020-12-31,1426094,12159,9075.714,125807,910,662.143,11060.758,94.305,70.391,975.757,7.058,5.136,1.05,,,,,,,,,30893,3457715,26.818,0.24,25173,0.195,0.408,2.5,people tested,,,,,3695,,,,29,71.76,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,
34944,FRA,Europe,France,2020-12-31,2677666,20042,13333.286,64759,251,338.571,39631.402,296.636,197.342,958.48,3.715,5.011,1.09,2625,38.852,24407,361.241,,,,,337208,,,4.991,258602,3.827,0.051,19.6,people tested,786,786,,144,160,0,0,,2,63.89,67564251,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,
