,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
523,AFG,Asia,Afghanistan,2021-07-31,146523.0,0.0,440.57099999999997,6677.0,0.0,45.714,3763.9159999999997,0.0,11.317,171.52,0.0,1.1740000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,
1059,OWID_AFR,,Africa,2021-07-31,6708893.0,35861.0,39119.0,170082.0,866.0,945.143,5004.403,26.75,29.18,126.87,0.6459999999999999,0.705,,,,,,,,,,,,,,,,,,,68670999.0,47472818.0,23282378.0,115988.0,1123388.0,5.12,3.54,1.74,838.0,,1340598113.0,,,,,,,,,,,,,,,
1583,ALB,Europe,Albania,2021-07-31,133081.0,45.0,32.571,2457.0,0.0,0.14300000000000002,46244.005999999994,15.637,11.318,853.7769999999999,0.0,0.05,,,,,,,,,,,,,,,,,,,1198933.0,670215.0,528718.0,8086.0,9975.0,41.66,23.29,18.37,3466.0,,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,
2107,DZA,Africa,Algeria,2021-07-31,171392.0,1203.0,1503.4289999999999,4254.0,35.0,30.285999999999998,3908.505,27.434,34.285,97.01,0.7979999999999999,0.691,,47.0,1.072,,,,,,,,,,,,,,,,,,,,,,,,,,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.748,
2625,AND,Europe,Andorra,2021-07-31,14678.0,0.0,25.714000000000002,128.0,0.0,0.14300000000000002,189969.585,0.0,332.806,1656.636,0.0,1.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,
3125,AGO,Africa,Angola,2021-07-31,42777.0,131.0,148.714,1011.0,3.0,4.143,1301.547,3.986,4.525,30.761,0.091,0.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,
3802,ATG,North America,Antigua and Barbuda,2021-07-31,1303.0,0.0,3.286,43.0,0.0,0.0,13305.694,0.0,33.552,439.098,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,
4381,ARG,South America,Argentina,2021-07-31,4929764.0,10356.0,12950.714,105721.0,135.0,305.286,109075.766,229.136,286.547,2339.179,2.987,6.755,,,,,,,,,,,,,,,,,,,31877998.0,24966105.0,6911893.0,406924.0,348605.0,70.53,55.24,15.29,7713.0,,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,
4900,ARM,Asia,Armenia,2021-07-31,230110.0,243.0,211.143,4614.0,6.0,4.2860000000000005,77655.022,82.005,71.25399999999999,1557.0829999999999,2.025,1.446,,,,,,,,,,,,,,,,,,,,,,,2808.0,,,,948.0,,2963234.0,102.931,35.7,11.232000000000001,7.571000000000001,8787.58,1.8,341.01,7.11,1.5,52.1,94.04299999999999,4.2,75.09,0.7759999999999999,
5026,ABW,North America,Aruba,2021-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138509.0,72793.0,65716.0,911.0,406.0,129.73,68.18,61.55,3803.0,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,,
