,iso_code,continent,country,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality,ISO,WEO Subject Code,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
0,AUT,Europe,Austria,2021-07-31,659056.0,538.0,445.42900000000003,10737.0,0.0,0.857,73176.408,59.735,49.457,1192.152,0.0,0.095,1.26,,,,,,,,,367563.0,66567305.0,7391.111,40.811,370880.0,41.18,0.001,832.6,tests performed,9697415.0,5295345.0,4599790.0,34897.0,42638.0,107.67,58.8,51.07,4734.0,,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,,AUT,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",-6.59,3.478,4,2.3,2,1.8,1.8,2019.0
1,BGD,Asia,Bangladesh,2021-07-31,1249484.0,9369.0,13734.286,20685.0,218.0,234.143,7586.9130000000005,56.888999999999996,83.395,125.6,1.324,1.422,1.23,,,,,,,,,,,,,40562.0,0.24600000000000002,0.33899999999999997,3.0,tests performed,12849265.0,8520221.0,4329044.0,1114818.0,360901.0,7.8,5.17,2.63,2191.0,,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,BGD,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",3.798,5.035,7.465,7.3,7.3,7.3,7.2,2020.0
2,BEL,Europe,Belgium,2021-07-31,1124715.0,0.0,1607.1429999999998,25241.0,0.0,3.0,97045.06199999999,0.0,138.671,2177.8979999999997,0.0,0.259,1.2,,,,,,,,,60028.0,17313965.0,1493.921,5.178999999999999,54146.0,4.672,0.032,31.2,tests performed,14535100.0,8036758.0,6821945.0,60389.0,101750.0,125.41,69.34,58.86,8779.0,,11589616.0,375.564,41.8,18.570999999999998,12.849,42658.575999999994,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.9309999999999999,,BEL,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",-6.424,4.043,3.091,2.101,1.596,1.315,1.341,2020.0
3,BRA,South America,Brazil,2021-07-31,19917855.0,37582.0,35331.571,556370.0,910.0,988.857,93704.885,176.80700000000002,166.22,2617.48,4.281000000000001,4.652,0.91,,,,,,,,,,,,,,,,,,142488679.0,105057816.0,41489804.0,2319465.0,1520483.0,67.03,49.43,19.52,7153.0,,212559409.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,,2.2,75.88,0.765,,BRA,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",-4.059,3.655,2.565,2.141,2.015,2.015,2.015,2020.0
4,BGR,Europe,Bulgaria,2021-07-31,425054.0,182.0,203.571,18213.0,2.0,2.8569999999999998,61172.53599999999,26.193,29.296999999999997,2621.1620000000003,0.28800000000000003,0.41100000000000003,1.63,,,,,,,,,,,,,15128.0,2.177,0.013000000000000001,74.3,tests performed,2028136.0,1028258.0,999878.0,3193.0,9270.0,29.19,14.8,14.39,1334.0,,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05,0.816,,BGR,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",-3.844,4.4,4.4,3.9,3.2,3.04,2.8,2019.0
5,BFA,Africa,Burkina Faso,2021-07-31,13573.0,0.0,5.0,169.0,0.0,0.0,649.3240000000001,0.0,0.239,8.085,0.0,0.0,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,20903278.0,70.15100000000001,17.6,2.4090000000000003,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,,BFA,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",0.793,4.256,5.202,5.586,5.583,5.554,5.603,2018.0
6,CHL,South America,Chile,2021-07-31,1615771.0,1142.0,1146.0,35448.0,82.0,70.0,84523.61,59.74,59.949,1854.3429999999998,4.29,3.662,0.77,,,,,,,,,60233.0,18421129.0,963.6389999999999,3.1510000000000002,53609.0,2.804,0.021,46.8,tests performed,25649538.0,13829217.0,12326594.0,6296.0,43717.0,134.18,72.34,64.48,2287.0,,19116209.0,24.281999999999996,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,,CHL,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",-5.841,6.174,3.822,2.684,2.495,2.457,2.549,2020.0
7,CHN,Asia,China,2021-07-31,93066.0,77.0,68.429,4636.0,0.0,0.0,64.66,0.053,0.048,3.221,0.0,0.0,1.4,,,,,,,,,,,,,,,,,,1652819000.0,,,15424000.0,16301714.0,114.83,,,11326.0,,1439323774.0,147.674,38.7,10.640999999999998,5.928999999999999,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.7609999999999999,,CHN,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",2.27,8.437,5.574,5.439,5.273,5.121,4.863,2020.0
8,HRV,Europe,Croatia,2021-07-31,363615.0,218.0,159.857,8259.0,5.0,2.0,88572.78,53.103,38.94,2011.805,1.218,0.48700000000000004,1.18,,,,,,,,,,,,,8096.0,1.972,0.02,50.6,people tested,3078364.0,1646466.0,1431898.0,9707.0,10760.0,74.99,40.11,34.88,2621.0,33.8,4105268.0,73.726,44.0,19.724,13.052999999999999,22669.797000000002,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,,HRV,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",-9,4.7,5,4.2,3.5,3.7,3,2019.0
9,FRA,Europe,France,2021-07-31,6190334.0,23644.0,21312.571,112055.0,44.0,36.429,91621.44,349.94800000000004,315.442,1658.495,0.6509999999999999,0.539,1.43,,,,,,,,,,,,,,,,,,73914911.0,42427012.0,32351518.0,462396.0,620231.0,109.4,62.8,47.88,9180.0,,67564251.0,122.57799999999999,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.9009999999999999,,FRA,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for: Gross domestic product, constant prices (National currency).",-8.232,5.812,4.217,1.711,1.483,1.362,1.242,2020.0
